path,targets,label
simpsons_dataset\moe_szyslak\pic_0913.jpg,11,moe_szyslak
simpsons_dataset\apu_nahasapeemapetilon\pic_0417.jpg,1,apu_nahasapeemapetilon
simpsons_dataset\ned_flanders\pic_0931.jpg,12,ned_flanders
simpsons_dataset\marge_simpson\pic_0896.jpg,9,marge_simpson
simpsons_dataset\marge_simpson\pic_0301.jpg,9,marge_simpson
simpsons_dataset\moe_szyslak\pic_0167.jpg,11,moe_szyslak
simpsons_dataset\charles_montgomery_burns\pic_0986.jpg,3,charles_montgomery_burns
simpsons_dataset\krusty_the_clown\pic_1091.jpg,7,krusty_the_clown
simpsons_dataset\apu_nahasapeemapetilon\pic_0155.jpg,1,apu_nahasapeemapetilon
simpsons_dataset\homer_simpson\pic_1108.jpg,6,homer_simpson
simpsons_dataset\homer_simpson\pic_0820.jpg,6,homer_simpson
simpsons_dataset\krusty_the_clown\pic_0799.jpg,7,krusty_the_clown
simpsons_dataset\bart_simpson\pic_0873.jpg,2,bart_simpson
simpsons_dataset\homer_simpson\pic_0996.jpg,6,homer_simpson
simpsons_dataset\apu_nahasapeemapetilon\pic_0455.jpg,1,apu_nahasapeemapetilon
simpsons_dataset\moe_szyslak\pic_0337.jpg,11,moe_szyslak
simpsons_dataset\homer_simpson\pic_1092.jpg,6,homer_simpson
simpsons_dataset\bart_simpson\pic_0903.jpg,2,bart_simpson
simpsons_dataset\ned_flanders\pic_0382.jpg,12,ned_flanders
simpsons_dataset\apu_nahasapeemapetilon\pic_0329.jpg,1,apu_nahasapeemapetilon
simpsons_dataset\comic_book_guy\pic_0407.jpg,5,comic_book_guy
simpsons_dataset\comic_book_guy\pic_0120.jpg,5,comic_book_guy
simpsons_dataset\charles_montgomery_burns\pic_0453.jpg,3,charles_montgomery_burns
simpsons_dataset\moe_szyslak\pic_1133.jpg,11,moe_szyslak
simpsons_dataset\ned_flanders\pic_0261.jpg,12,ned_flanders
simpsons_dataset\charles_montgomery_burns\pic_0328.jpg,3,charles_montgomery_burns
simpsons_dataset\ned_flanders\pic_1015.jpg,12,ned_flanders
simpsons_dataset\lisa_simpson\pic_0605.jpg,8,lisa_simpson
simpsons_dataset\homer_simpson\pic_0973.jpg,6,homer_simpson
simpsons_dataset\chief_wiggum\pic_0006.jpg,4,chief_wiggum
simpsons_dataset\moe_szyslak\pic_1314.jpg,11,moe_szyslak
simpsons_dataset\chief_wiggum\pic_0044.jpg,4,chief_wiggum
simpsons_dataset\charles_montgomery_burns\pic_0569.jpg,3,charles_montgomery_burns
simpsons_dataset\moe_szyslak\pic_1141.jpg,11,moe_szyslak
simpsons_dataset\krusty_the_clown\pic_0312.jpg,7,krusty_the_clown
simpsons_dataset\charles_montgomery_burns\pic_0114.jpg,3,charles_montgomery_burns
simpsons_dataset\principal_skinner\pic_0563.jpg,13,principal_skinner
simpsons_dataset\ned_flanders\pic_0317.jpg,12,ned_flanders
simpsons_dataset\homer_simpson\pic_1832.jpg,6,homer_simpson
simpsons_dataset\krusty_the_clown\pic_0704.jpg,7,krusty_the_clown
simpsons_dataset\marge_simpson\pic_0863.jpg,9,marge_simpson
simpsons_dataset\lisa_simpson\pic_0160.jpg,8,lisa_simpson
simpsons_dataset\bart_simpson\pic_0157.jpg,2,bart_simpson
simpsons_dataset\charles_montgomery_burns\pic_0144.jpg,3,charles_montgomery_burns
simpsons_dataset\apu_nahasapeemapetilon\pic_0093.jpg,1,apu_nahasapeemapetilon
simpsons_dataset\krusty_the_clown\pic_0390.jpg,7,krusty_the_clown
simpsons_dataset\abraham_grampa_simpson\pic_0261.jpg,0,abraham_grampa_simpson
simpsons_dataset\charles_montgomery_burns\pic_0646.jpg,3,charles_montgomery_burns
